Customer_Name,Gender,Age,City,Brand,Generation,RAM_Type,RAM_Size,Storage,Usage_Type,Buying_Power
Hussain,Male,21,Lahore,Asus,9th Gen,DDR5,32GB,1TB SSD,Gaming,Medium
Usman,Male,40,Karachi,HP,9th Gen,DDR5,8GB,512GB SSD,Student,High
Fatima,Female,21,Lahore,Dell,8th Gen,DDR5,32GB,256GB SSD,Office,Low
Mehwish,Female,33,Lahore,Lenovo,10th Gen,DDR5,16GB,1TB SSD,Business,Low
Ayesha,Female,34,Multan,MSI,10th Gen,DDR5,32GB,1TB SSD,Programming,Medium
Iqra,Female,38,Karachi,MSI,10th Gen,DDR5,8GB,512GB SSD,Gaming,Low
Iqra,Female,41,Multan,Asus,11th Gen,DDR5,32GB,512GB SSD,Student,Low
Rizwan,Male,29,Karachi,Asus,11th Gen,DDR4,32GB,1TB SSD,Student,High
Maryam,Female,25,Faisalabad,Asus,13th Gen,DDR5,8GB,256GB SSD,Programming,Medium
Eman,Female,32,Karachi,Dell,10th Gen,DDR4,16GB,512GB SSD,Gaming,Medium
Ayesha,Female,29,Peshawar,Dell,9th Gen,DDR4,8GB,512GB SSD,Student,High
Fatima,Female,18,Islamabad,Lenovo,10th Gen,DDR5,16GB,256GB SSD,Programming,Medium
Iqra,Female,23,Multan,Dell,8th Gen,DDR5,32GB,1TB SSD,Office,Medium
Talha,Male,19,Faisalabad,Asus,8th Gen,DDR5,32GB,512GB SSD,Office,High
Eman,Female,35,Islamabad,Acer,12th Gen,DDR5,8GB,1TB SSD,Office,High
Noor,Female,39,Lahore,Lenovo,8th Gen,DDR4,16GB,1TB SSD,Business,Medium
Eman,Female,28,Faisalabad,Acer,12th Gen,DDR4,32GB,256GB SSD,Gaming,High
Umar,Male,36,Islamabad,Dell,11th Gen,DDR4,16GB,1TB SSD,Office,Low
Sana,Female,20,Karachi,Acer,10th Gen,DDR5,8GB,256GB SSD,Office,Medium
Ahmed,Male,35,Faisalabad,HP,11th Gen,DDR4,32GB,256GB SSD,Business,Medium
Eman,Female,44,Faisalabad,Asus,8th Gen,DDR5,16GB,512GB SSD,Office,High
Faizan,Male,43,Faisalabad,Acer,11th Gen,DDR5,16GB,512GB SSD,Programming,Low
Bilal,Male,39,Multan,Lenovo,13th Gen,DDR5,16GB,256GB SSD,Business,Medium
Rizwan,Male,43,Lahore,Asus,13th Gen,DDR5,16GB,1TB SSD,Gaming,Low
Iqra,Female,26,Faisalabad,Acer,8th Gen,DDR5,16GB,256GB SSD,Business,Low
Sana,Female,40,Islamabad,HP,9th Gen,DDR5,32GB,512GB SSD,Gaming,Medium
Hira,Female,36,Islamabad,Lenovo,13th Gen,DDR5,8GB,256GB SSD,Student,Low
Anaya,Female,35,Lahore,Asus,10th Gen,DDR4,32GB,256GB SSD,Gaming,Medium
Faizan,Male,37,Islamabad,MSI,13th Gen,DDR5,32GB,256GB SSD,Gaming,High
Hira,Female,26,Islamabad,HP,11th Gen,DDR4,16GB,512GB SSD,Business,Low
Hamza,Male,26,Faisalabad,HP,11th Gen,DDR4,32GB,1TB SSD,Office,Medium
Dua,Female,34,Lahore,Dell,13th Gen,DDR4,16GB,1TB SSD,Programming,High
Eman,Female,20,Peshawar,Asus,9th Gen,DDR5,16GB,512GB SSD,Student,Low
Eman,Female,22,Multan,HP,11th Gen,DDR5,8GB,256GB SSD,Office,Low
Zubair,Male,18,Lahore,Asus,10th Gen,DDR5,32GB,512GB SSD,Programming,Low
Zubair,Male,45,Multan,MSI,13th Gen,DDR5,16GB,256GB SSD,Gaming,Low
Anaya,Female,34,Lahore,MSI,11th Gen,DDR5,16GB,256GB SSD,Business,Low
Hira,Female,30,Faisalabad,HP,10th Gen,DDR5,16GB,256GB SSD,Business,Low
Zainab,Female,21,Karachi,Dell,10th Gen,DDR5,16GB,512GB SSD,Programming,High
Hamza,Male,24,Multan,Dell,10th Gen,DDR5,8GB,1TB SSD,Student,High
Kinza,Female,30,Karachi,Asus,9th Gen,DDR5,8GB,512GB SSD,Office,Low
Imran,Male,21,Karachi,HP,12th Gen,DDR5,16GB,512GB SSD,Office,High
Ayesha,Female,40,Lahore,HP,8th Gen,DDR4,32GB,256GB SSD,Gaming,Medium
Rizwan,Male,28,Peshawar,HP,10th Gen,DDR5,8GB,1TB SSD,Student,Medium
Anaya,Female,44,Lahore,Dell,10th Gen,DDR5,32GB,256GB SSD,Student,Low
Hira,Female,43,Faisalabad,MSI,9th Gen,DDR5,32GB,512GB SSD,Business,High
Iqra,Female,19,Faisalabad,Lenovo,11th Gen,DDR5,16GB,512GB SSD,Student,Medium
Abdullah,Male,23,Faisalabad,Lenovo,10th Gen,DDR5,16GB,256GB SSD,Programming,High
Saad,Male,24,Peshawar,Lenovo,11th Gen,DDR4,16GB,512GB SSD,Gaming,High
